moderator,mod_type,DV,beta_D,beta_DxM,boot_mean,boot_SE,CI_lo,CI_hi,sig
M1: Substantive (Q1),binary,1+_mainspace_edit_14d,0.0014740082750002576,0.017860511099920418,0.01855231736747217,0.009767038776433973,-0.00015748405679818437,0.038657011174649966,False
M1: Substantive (Q1),binary,n_mainspace_edits_14d,0.8441804042827208,-0.4635503775172605,-0.4391524115650495,0.7148858181991121,-1.7396586845883044,1.1220689973420968,False
M1: Substantive (Q1),binary,active_days_30d,0.06930975660496441,0.028383234614048153,0.03371789376777185,0.0730069660874194,-0.11029351590921778,0.1770822400996115,False
M1: Substantive (Q1),binary,unique_namespace_14d,0.008480080548799895,0.02099465512173666,0.02105175021146094,0.018672652483706118,-0.015242011151170713,0.05779111406984591,False
M1: Substantive (Q1),binary,reverted_any_14d,0.002543055181262476,0.002846796445661135,0.0026798027318462605,0.00786377138733114,-0.013506828657281452,0.017070369824426286,False
M2: Info-seeking breadth (Q2+Q3+Q4),continuous (z),1+_mainspace_edit_14d,0.01585811442064121,-0.002922563305912923,-0.0027381135403511834,0.0052451466415934095,-0.012858855822071096,0.007158167377647126,False
M2: Info-seeking breadth (Q2+Q3+Q4),continuous (z),n_mainspace_edits_14d,0.506515104216513,-0.034828574341459,-0.028620489295436802,0.3882363359399626,-0.7769687303753604,0.6945480756410054,False
M2: Info-seeking breadth (Q2+Q3+Q4),continuous (z),active_days_30d,0.09418767372793568,-0.04014373898884327,-0.044437382111566656,0.0462562000015736,-0.13340599627705294,0.046599934436713564,False
M2: Info-seeking breadth (Q2+Q3+Q4),continuous (z),unique_namespace_14d,0.025704286124014458,-0.010653907329256414,-0.010363336050490125,0.010204159646230901,-0.031217447847359733,0.010105887175307667,False
M2: Info-seeking breadth (Q2+Q3+Q4),continuous (z),reverted_any_14d,0.004886624817284701,-0.004101902347656391,-0.003774634505477098,0.003986790306244515,-0.011547868355199397,0.0038646413548018687,False
M3: Own work (Q5),binary,1+_mainspace_edit_14d,0.012922350598752089,0.014611301660459711,0.012972985154799643,0.012844561900064682,-0.012493189647670273,0.03662962606351433,False
M3: Own work (Q5),binary,n_mainspace_edits_14d,0.19792100288573256,1.396974970329315,1.3774268601848518,0.9352762921093858,-0.5191783504305257,3.199537952056786,False
M3: Own work (Q5),binary,active_days_30d,0.0700465750324446,0.12020413816370944,0.12981245568250563,0.1112370096612732,-0.060117953703933365,0.3485634224458989,False
M3: Own work (Q5),binary,unique_namespace_14d,0.01982663368383944,0.03006177614234381,0.030763425070153005,0.025572848037933103,-0.018390237527509564,0.084361536270264,False
M3: Own work (Q5),binary,reverted_any_14d,0.006870715260113059,-0.007519535530824093,-0.007172564571678158,0.008910628155341535,-0.024901895969052606,0.009287592108277024,False
M4: Reply propensity,continuous (z),1+_mainspace_edit_14d,0.015470417637353753,0.0021397079164905118,0.0020842657140393594,0.004108364858962682,-0.006234577308214683,0.01004630748679892,False
M4: Reply propensity,continuous (z),n_mainspace_edits_14d,0.44491615884183844,-0.5702092890003858,-0.5709438969682026,0.336303845109814,-1.2024343239333624,0.07308351021570267,False
M4: Reply propensity,continuous (z),active_days_30d,0.08978821314198354,-0.02779906990216159,-0.02722565478174785,0.0330655690616148,-0.08351567414442206,0.039965175958520005,False
M4: Reply propensity,continuous (z),unique_namespace_14d,0.024534872521127994,-0.0045028706080863555,-0.004476932889181899,0.00827482910480665,-0.021401875012500588,0.011997059860668294,False
M4: Reply propensity,continuous (z),reverted_any_14d,0.004769793395999561,-0.001230118860330799,-0.001147169112832489,0.003370978094783616,-0.007465292243341517,0.005828842026009544,False
M5: Referent (Q2),binary,1+_mainspace_edit_14d,0.01995236899555787,-0.02807032704686172,-0.028379727373194087,0.013605571039825405,-0.05401156184275261,-0.0013929622949107533,True
M5: Referent (Q2),binary,n_mainspace_edits_14d,0.7447764138547504,-1.8343729250246408,-1.8423745429150664,0.798877529248214,-3.438931471834299,-0.27978976931503,True
M5: Referent (Q2),binary,active_days_30d,0.13500746412245312,-0.2895864962934937,-0.2832349726691598,0.10768680762091073,-0.486160559026998,-0.07654521538327301,True
M5: Referent (Q2),binary,unique_namespace_14d,0.031365567346281986,-0.034104391121335766,-0.03390621152426085,0.024699304471644118,-0.08321492229284658,0.014924433299177552,False
M5: Referent (Q2),binary,reverted_any_14d,0.006780543218503993,-0.012251267634079386,-0.011631902033236191,0.011076945166146792,-0.03423650662027026,0.009763580208492353,False
M6: Appraisal (Q3),binary,1+_mainspace_edit_14d,0.015426028946485829,0.018044514883740818,0.01916459277036475,0.024372402047663968,-0.02695335532358538,0.06786826573151246,False
M6: Appraisal (Q3),binary,n_mainspace_edits_14d,0.4930823028567084,0.39168234633218163,0.2675039245357041,2.0215223012540564,-3.763367088249706,3.5557816468565604,False
M6: Appraisal (Q3),binary,active_days_30d,0.08607636331422575,0.2240519111446328,0.2306747198246048,0.19944283083291947,-0.14086984990529222,0.6081155335514621,False
M6: Appraisal (Q3),binary,unique_namespace_14d,0.029050027339307227,-0.03254001399401777,-0.032379083828968695,0.052959954440567246,-0.13699947108841778,0.07038856063138146,False
M6: Appraisal (Q3),binary,reverted_any_14d,0.006914557364274643,-0.028899070721198017,-0.02835876057237959,0.017661817454333904,-0.060394100451579606,0.0034015331414233956,False
M7: Normative (Q4),binary,1+_mainspace_edit_14d,0.015772848737192077,-0.0015604550261448262,-0.0014866407539877455,0.014976316003812126,-0.029622661101902367,0.026377022195844015,False
M7: Normative (Q4),binary,n_mainspace_edits_14d,0.32532917504419956,1.0866051031255002,1.1466655281322515,1.305172546195941,-1.7166172278461995,3.557236433417697,False
M7: Normative (Q4),binary,active_days_30d,0.09870056275545813,-0.03438523722545995,-0.03232529560459705,0.1377042290573288,-0.30271863304472635,0.2402045142277483,False
M7: Normative (Q4),binary,unique_namespace_14d,0.026175950043068885,-0.0036458613264764815,-0.0025914708704523467,0.02936510666004897,-0.060719308337471474,0.05374265307610476,False
M7: Normative (Q4),binary,reverted_any_14d,0.004488446777440022,0.002809913235294793,0.003577864385932598,0.011578924937154837,-0.01976122769953729,0.02671398290960177,False
M8: Pure technical,binary,1+_mainspace_edit_14d,0.015487488566521115,0.002483269812800811,0.003193881818000378,0.009821194623012099,-0.01698732171413453,0.021092526489225757,False
M8: Pure technical,binary,n_mainspace_edits_14d,0.6622531528916245,-0.32844049431756195,-0.30301726586627026,0.7541479932562354,-1.7667330630483196,1.1726918111536393,False
M8: Pure technical,binary,active_days_30d,0.08480040821536972,0.033783883354450296,0.03621119612758794,0.0796838921055194,-0.12308620255488298,0.18253948595348835,False
M8: Pure technical,binary,unique_namespace_14d,0.025625291193413308,0.003986644922664808,0.004519591117002421,0.01801383421035402,-0.031624188067813495,0.04060521920332435,False
M8: Pure technical,binary,reverted_any_14d,0.004453693230495135,0.001966165531816773,0.0016020476622090709,0.007888215905817843,-0.0135753515508893,0.01641653584743251,False
