group_id,cell,conversation_id,active_days_14d,active_days_30d,retention_14d,mentee_n_edits_pre,mentee_acct_age_hours,reply_words,reply_lag_hours,question,reply
1,qc_1_m0,3792,14,16,1,8.0,1970.6,63.0,13.1,"Hello, can I ask you a question. How do I create a citation?","Hi AlfieRosa and thanks for your question. [HELP_PAGE] with instructions on how to add references and it includes citation templates. At the bottom of that help page, there are links to other help pages regarding citations/references, such as different citation styles, etc. The link on the right side is for a 6 minute video housed on Wikimedia Commons regarding how to create citations."
1,qc_1_m0,3955,9,20,1,8.0,125.5,41.0,1.5,How do I create a citation?,"Hi MihaelaLovri and welcome to Wikipedia. [HELP_PAGE] is a help page page on how to create a citation. [POLICY] are some citation template options. [POLICY] is information about inline citations. And last but not least, [POLICY] is general information regarding sources."
1,qc_1_m0,31233,0,0,0,21.0,131.7,22.0,9.0,"Hello, how do I create a citation?","Thats very simple. you have to put your [HELP_PAGE] between and tag. if you want any extended tutorial, do let me know.––"
1,qc_1_m0,14099,0,0,0,5.0,0.9,134.0,10.3,"Hello, how do I create a citation?","Sean J. Prescott Good day! When citing web sources on Wikipedia, it's best to use [TEMPLATE_REF], and for books, use [TEMPLATE_REF]. You can also enable the [POLICY] to add citations easily to articles. With VisualEditor, simply copy and paste the URL into the citation box and click ""create."" However, if the author's name isn't in the usual place (typically the top left corner of the article), VisualEditor might not capture it, and you'll need to add it manually.
I recommend going through [POLICY] (The Wikipedia Adventure) and exploring the tutorial sections of the ""Welcome message"", which can be found in the top left corner of your Talk page. This will help you get familiar with fundamental guidelines and helpful instructions.
Feel free to ask if you have any further questions! Stay safe and best."
1,qc_1_m0,18674,0,0,0,3.0,118.5,22.0,0.3,"Hello, how do I create a citation?","Hi@, welcome to wikipedia. To create a citation, follow the steps at [POLICY]. Please be sure to use [POLICY]. Happy editing !"
2,qc_1_m0,30336,9,15,1,10.0,8.1,9.0,56.0,How do I create a citation?,Welcome to Wikipedia! Please read [POLICY] for more info.
2,qc_1_m0,13047,3,3,1,3.0,81.4,13.0,17.4,How to create a citation,"Suresona Please see [POLICY]. If you have any questions, please let me know!"
2,qc_1_m0,30939,0,0,0,2.0,313.6,72.0,41.5,How do I create a citation?,"Hello @! There are 3 ways I know of.
# For an easy auto-generated way, see [POLICY]
# For a more difficult way you need to make, see [HELP_PAGE]
# For using trusty [WIKILINK], see [POLICY].
Thanks. ~ (He, him) • • •
Hello, @, and welcome! In addition to the helpful tools Rafael mentioned below, there are helpful referencing tutorials at [POLICY] (source editor) and [POLICY] (for the visual editor). Cheers,"
2,qc_1_m0,4205,0,0,0,4.0,36.3,44.0,3.1,How do I create a citation?,"Hi Albert Cuen and welcome to Wikipedia. To create citations, the simplest way is to use one of the following tools: [POLICY] or [POLICY]. I personally use the latter because the parameters of the citation can often be generated automatically from a url. Cheers,"
2,qc_1_m0,23244,0,0,0,28.0,1526.9,4.0,14.8,How do I create citation ?,", see [HELP_PAGE]. —"
3,qc_1_m0,28932,8,9,1,3.0,154.2,109.0,29.1,How fo I create a citation,"Hello @, and welcome to Wikipedia! I see that you mostly use the [POLICY], and it’s a lot easier to create a citation with VisualEditor than the wikitext editor.
To create a citation, click the Cite button (the one that looks like quotation marks), then choose to
Automatically generate a citation using a URL, ISBN (or other identifier)
Manually fill out a citation template
Reuse a citation already in the article
I prefer manually filling out, but automatic citations are usually sufficient. Remember that everything in Wikipedia [POLICY] with [POLICY]. If you have more questions, don’t hesitate to ask me using your or at the [POLICY]. Happy editing! ~~"
3,qc_1_m0,21788,7,12,1,39.0,2704.4,20.0,11.3,how to create citation,RosettaGiymanaby99 Welcome to Wikipedia. You'll want to read [HELP_PAGE]. You might also want to start and complete [POLICY]. Happy editing!
3,qc_1_m0,14017,0,0,0,1.0,0.2,41.0,23.6,How do I create a citation,Ishanvi.M Good day and thank you for the question. To create a citation you can use the horizontal format of [TEMPLATE_REF] if the source is from the the web and [TEMPLATE_REF] if the source is from books. Stay safe and best.
3,qc_1_m0,21056,0,2,0,2.0,1148.7,48.0,13.1,How do i create a citation,"Hey there, @! Through visual editor, you can create a citation automatically by pressing the ""cite"" button at the top of the editing bar. For source code, a specific template should generate a source (and [HELP_PAGE] is useful here), for example:
[CITATION]
This produces a source: [CITATION]. ~"
3,qc_1_m0,31780,0,0,0,2.0,0.9,2.0,0.9,How do i create a citation,See [POLICY].
4,qc_1_m0,34110,7,7,1,2.0,0.3,24.0,8.5,"Hi, I was just wondering how to add citations.","Hi Mwf2008, that's a great question! I'd recommend checking out [HELP_PAGE]; if you have any further questions, feel free to ask. ( • )"
4,qc_1_m0,24574,5,9,1,29.0,267.9,4.0,14.7,How do I add citation?,"Hi , see [POLICY]."
4,qc_1_m0,17124,0,0,0,21.0,137.8,10.0,229.4,How do I add citations ?,Khoe0005 Welcome to Wikipedia. You should read [POLICY]. Happy editing!
4,qc_1_m0,7547,0,0,0,7.0,2188.7,6.0,7.2,Hello! I just wanted to know how you add a citation. Thanks!,responded on user takk page. —usernamekiran
4,qc_1_m0,1114,0,0,0,6.0,934.7,17.0,244.7,"Hello,how do i add a citation?","The best guide I can give you is probably [POLICY], which has a lot of useful information"
5,qc_1_m0,5043,3,3,1,1.0,4.5,63.0,4.8,"Hello, How do you make citations?","Hi ! Great question. There's some good advice at [HELP_PAGE] and a more detailed breakdown at [POLICY]. There are many acceptable styles and useful templates, but the most important thing is to understand the basics and do your best. Many editors work solely or mainly on cleaning up and improving citations, and all they need is a good starting point. ( / )"
5,qc_1_m0,175,0,0,0,3.0,0.8,52.0,2.5,"Hello, how do you make a citation?","Hello! There's a lot of documentation about adding citations at [POLICY]. You can do inline citations just by adding the information inside a tag, and you can do a lot more complicated citations with various [TEMPLATE_REF] tags.
Let me know if you need more guidance or have questions about a specific situation."
5,qc_1_m0,22694,0,0,0,1.0,0.2,10.0,9.8,Hello. How do I create citations,"Djnostain Please see [POLICY].
Okay. Thank you for the reply"
5,qc_1_m0,25915,0,0,0,2.0,23.8,4.0,8.6,"Hello
How do I create a citation?",@ info at [POLICY].
6,qc_1_m0,8703,3,3,1,1.0,15.8,29.0,9.9,"Hello & Thanks,
how to add citations ?","Citations can be tricky. [POLICY] should be able to help you with what you need. Remember though, citations need to be from reliable sources. Hope this helps! (Very Busy)"
6,qc_1_m0,19722,0,1,0,10.0,1.4,6.0,347.3,"hello! :D
i would like to ask a question: how to add citations?",@ see [POLICY] ! ? [LINK].
6,qc_1_m0,7547,0,0,0,7.0,2188.7,6.0,7.2,Hello! I just wanted to know how you add a citation. Thanks!,responded on user takk page. —usernamekiran
6,qc_1_m0,1114,0,0,0,6.0,934.7,17.0,244.7,"Hello,how do i add a citation?","The best guide I can give you is probably [POLICY], which has a lot of useful information"
7,qc_1_m0,21047,3,4,1,26.0,11195.0,14.0,6.6,How do i create a citation?,"Hi, @! There is a section above that explains how hope this helps! ~"
7,qc_1_m0,38997,3,5,1,20.0,304.9,31.0,30.5,"Hi, hope you are doing well
Wanted to ask how to create a citation.","A350Editing, I would start by reading [HELP_PAGE]. After you have digested that, try out a few sample citations in , and then ask again and I can review them for you."
7,qc_1_m0,21056,0,2,0,2.0,1148.7,48.0,13.1,How do i create a citation,"Hey there, @! Through visual editor, you can create a citation automatically by pressing the ""cite"" button at the top of the editing bar. For source code, a specific template should generate a source (and [HELP_PAGE] is useful here), for example:
[CITATION]
This produces a source: [CITATION]. ~"
7,qc_1_m0,31780,0,0,0,2.0,0.9,2.0,0.9,How do i create a citation,See [POLICY].
7,qc_1_m0,4205,0,0,0,4.0,36.3,44.0,3.1,How do I create a citation?,"Hi Albert Cuen and welcome to Wikipedia. To create citations, the simplest way is to use one of the following tools: [POLICY] or [POLICY]. I personally use the latter because the parameters of the citation can often be generated automatically from a url. Cheers,"
8,qc_1_m2,3050,11,20,1,2.0,0.1,4.0,1.4,How do I make a citation?,"@, please review [HELP_PAGE]."
8,qc_1_m2,25699,7,7,0,29.0,0.6,19.0,5.0,How do I create a citation?,"Hello Tsedayephriem|p=, and welcome to Wikipedia! To answer your question, [POLICY] is a simple guide to referencing. Happy editing!"
8,qc_1_m2,34483,0,0,0,11.0,0.4,114.0,0.4,How do I properly make a citation?,"Here's how I do it: . It conforms to our methods and to professional norms. -- (PING me)
Hi @! For visual editor, there should be a button in the top of your screen that appears like a quotation mark, "", with rounded edges and a dot in the middle. From there, you can enter the URL and have Wikipedia cite it for you, or press the button to manually enter in the fields yourself. For source editor, well.. Frankly I don't use it much and can't offer much insight here, though I can give you two useful pages on source citation, which are found [HELP_PAGE] and [POLICY]. I hope this helps! · ·"
8,qc_1_m2,93,0,0,0,2.0,7295.0,5.0,7.8,How do I create a citation?,Hi! I've responded at .
8,qc_1_m2,39217,0,0,0,0.0,0.0,17.0,0.1,How do I create a citation?,"Hey, welcome to Wikipedia. Please look at this guide below (there is also a helpful video):
[HELP_PAGE]"
9,qc_1_m2,27759,4,4,1,5.0,1.2,20.0,41.1,"Hello, how do I create a citation?","Hello there @, welcome to Wikipedia. You can use this help page as a guide for citing sources: [HELP_PAGE]. ❯❯❯"
9,qc_1_m2,30272,4,8,1,15.0,1894.0,15.0,68.0,"hello, how do I create a citation","Hi, welcome to Wikipedia, a great starting guide to referencing can be found here: [POLICY]"
9,qc_1_m2,24348,0,0,0,0.0,0.0,92.0,0.2,"Hello, how do I create a citation?","Iprice2987 Hello and welcome!
If you are using the [POLICY], click the button at the top of the edit window to add a citation. You can insert the URL of the citation on the ""Automatic"" tab or manually format the source on the ""Manual"" tab (to insert information like the source title, authors, etc.). [HELP_PAGE] may help.
If you are editing the [POLICY], click on at the top of the edit window, then on . Select the source type (webpage, book...) and fill in information about the source. [HELP_PAGE] explains this better."
9,qc_1_m2,26339,0,0,0,0.0,0.4,69.0,11.0,"Hello, how do I create a citation?",Hi @ and welcome to Wikipedia! This really depends on what you're trying to cite. There's a long list of templates at [HELP_PAGE] so you can find what you're looking for. These templates help citations all (mostly) look the same so that there's no confusion. They're not required but they make life a lot easier. If you've got any other questions or want me to clarify anything please ask!
9,qc_1_m2,6874,0,0,0,0.0,0.4,21.0,58.9,Hello how do I create a citation?,"AffīñītyNehe Hello, and welcome to Wikipedia. You can find information about creating citations either through the [POLICY] or from this [POLICY]."
10,qc_1_m2,651,3,6,0,2.0,9.4,15.0,0.2,How do i create a citation?,Hi . Take a look at [HELP_PAGE] and let me know if you get stuck.
10,qc_1_m2,26210,3,4,1,7.0,1738.9,6.0,0.3,How do i create a citation?,[HELP_PAGE] has links to citation templates.
10,qc_1_m2,10801,0,0,0,0.0,0.3,17.0,200.4,How do i create a citation,"Hi , and welcome to Wikipedia! You can find information on creating a citation at [HELP_PAGE] —"
10,qc_1_m2,16166,0,0,0,0.0,0.0,88.0,24.5,how do i create a citation?,"Hi @, to create a citation, click on ""edit"" at the top of the paragraph where you want to create the paragraph. Put the cursor where you want to place the reference and click on the ""cite"" option in the tool bar (at the top of your screen), choose automatic and paste the link of the reference or reference code (ISBN, DOI or other) and click on ""create"" to create the citation or choose manual to add details (book, website, news, journal, etc.) to create the citation manually."
10,qc_1_m2,12574,0,0,0,0.0,0.0,44.0,10.6,How do i create citation,"Hello Sorry xem, and welcome to Wikipedia! The easiest way to add a citation is by clicking the ""cite"" button -- there are more detailed instructions [LINK]. Let me know if you have trouble with that, or any other questions I can help with!"
11,qc_24_m0,6029,3,4,1,0.0,0.8,187.0,1.0,"how do I save a draft, without having to publish it?","Hi Fripper23, You click on the publish button, which saves the page in draft space. This happens because you created the article in Draft space (it has the prefix ""Draft:""). To publish it in mainspace, the article must be renamed in a process called ""moving"", which publishes it in article space for the world to see. If you want you could alternatively save your drafts in user space, where they will mainly be ignored until you are ready to move them elsewhere. A lot depends on how soon you want them to be examined by someone else. If you expect the article to be ready soon, draft space is good, as you are more likely to get helpful suggestions. User space is good for something that may take a longer time before it is ready. As the article title suggests it will be about a recognised species, it should be easy to prove notability and should not take long. You are welcome to ping me from the talk page of the article while you are developing it if you want me to take a look. Cheers, :"
11,qc_24_m0,25593,0,0,0,0.0,334.9,43.0,0.2,"Can I save my draft without publishing it? If so, how?","@, welcome to Wikipedia! ""Publish"" and ""save"" are the same thing - wikipedia is a constant work-in-progress that we edit live. If you don't want to make edits on a page in mainspace for whatever reason, you can create a draft through [POLICY]."
11,qc_24_m0,2558,0,0,0,0.0,84.3,58.0,8.5,"Hi Robert,
How can i save my draft without publishing it ?","@ hi. I see that you have already saved something to your user page. As it is, the content is [POLICY] and may likely be subjected to deletion. Do keep in mind that [POLICY]. I suggest moving it to your sandbox, i.e. at where you can further work on it to make it less promotional. See also [POLICY]."
11,qc_24_m0,9059,0,0,0,0.0,0.2,133.0,7.5,Hello! How do I publish a draft?,"Mattdimarc, well at the moment your draft has been put up for review, which could take a little bit, so be patient. However, your draft as it is currently will not be accepted, because it does not show that you are [POLICY]. To fix that, you will need high quality [POLICY]. I have just declined your draft to that effect. At the top will be the decline reasons. You should follow some of the blue links and learn more about the process. Also, you should realize that your draft is written like an advertisement. Wikipedia is not for promotion. Our articles are written [POLICY], in an encyclopedic style that does not puff up the subjects. There is definitely a lot to take in here, so don't be afraid to post followup questions :)"
12,qc_24_m0,38919,3,3,1,2.0,4.1,13.0,0.8,"Hello, How can i submit my draft for review?",:Please review [POLICY] and let me know if you have any questions! '
12,qc_24_m0,18526,0,0,0,0.0,42978.8,19.0,0.1,"Hello I want to submit my draft for review, how can I do it?",You've written a draft clearly about yourself which is a violation of [POLICY] policy. I've tagged it for deletion.
12,qc_24_m0,17744,0,0,0,0.0,327.8,71.0,4.6,"Hi, how can I send this draft for review?","hello @ - at present the draft should not be sent for review, since it contains zero references. Every point you make needs to be supported by an independent, reliable source - see [POLICY]. Feel free to add references to support the article and come back and ask me to take a look. While you're doing it please also check that the subject meets the notability requirements [POLICY] - good luck!"
12,qc_24_m0,7556,0,0,0,0.0,2.9,21.0,13.2,"Hey, can you please let me know how can i submit my draft?","Laibadotawais its at the top of your draft, in white letters, with blue background, saying ""submit the draft for review"". —usernamekiran"
13,qc_22_m0,40662,9,23,1,5.0,279.1,21.0,0.8,I have created a page in my sanbox. How can I publish it?,", it looks good. There should be a “Move” tab at the top. Would you like my help to do it?"
13,qc_22_m0,1592,0,0,0,0.0,-1.0,21.0,0.8,I have created a page in my sanbox. How can I publish it?,", it looks good. There should be a “Move” tab at the top. Would you like my help to do it?"
13,qc_22_m0,33816,0,0,0,1.0,135.6,13.0,4.8,"I've made a draft of a page in my sandbox, but I don't know how to publish it",@: You can add [TEMPLATE_REF] to the top of the page. ~ ~
13,qc_22_m0,30157,0,0,0,0.0,122.4,52.0,1.7,"Hi, Im so confused. I create sandbox page and i dont see it anywhere...i dont understand how to publish my page?","Hi @! I had a little look, and noticed your sandbox was deleted under our [POLICY] criteria [POLICY], which basically means you are not allowed to [POLICY] on Wikipedia. I can’t look at the details as I’m not an Admin and can’t view deleted contribs. I’d recommend reading [POLICY] and [POLICY]. Thanks,"
14,qc_22_m0,33646,6,9,1,55.0,1271.0,68.0,0.3,What is my sandbox and how can i use it?,"As the name implies, your personal sandbox is a playground of sorts for you to make test edits or other types of edits unsuitable for an article, such as testing features like infoboxes or other templates, drafting new articles, etc. I use mine to create early versions of drafts before I create the real article and to make test edits relating to sources. You can access yours ."
14,qc_22_m0,11292,3,3,1,0.0,0.5,28.0,2.4,Where is my sandbox please,@ welcome to Wikipedia! A sandbox now exists for you at at . Since it didn’t exist before I technically had to create it. ~ (he/him • )
14,qc_22_m0,2622,0,0,0,0.0,-1.0,14.0,2.8,"Hello, how do I access my sandbox?",@ you can access here or click in the link at the right topbar
14,qc_22_m0,17535,0,0,0,6.0,3809.6,28.0,1.9,"Hello im bootheblue, My question is what is the sandbox possibly for?. just askin","Hello , and welcome to Wikipedia! Your sandbox is for testing out editing. This could be to practice editing, to draft an article rewrite, or something similar. Best,"
14,qc_22_m0,2080,0,0,0,1.0,6.4,9.0,3.2,where can i find my sandbox?,Hi @ your sandbox is at . Happy editing!
15,qc_22_m0,5391,5,5,1,1.0,3890.3,65.0,2.5,"Hi, I am trying to make my sandbox article sent to live? How do I do this?
Thanks
Liam","@ Hello and welcome to Wikipedia! You can submit it for review, see ""Ready!"" At [POLICY]. However, in it's current shape it will be declined. [POLICY] is your first hurdle, and you need to add these references correctly per [POLICY]. The only current ref in the article atm is, well, empty. [POLICY] may be of interest to you. I also recommend [POLICY]. Hope this helps."
15,qc_22_m0,30805,3,3,1,15.0,8095.8,24.0,2.9,"Hello, how do i submit article from my sandbox?","Hi, and welcome to Wikipedia! You can use [TEMPLATE_REF] (add to the top of the page). Let me knowif you have any questions. Cheers."
15,qc_22_m0,31215,0,0,0,0.0,20.5,66.0,207.0,"Hi mate,
I would like to move my article that I created from the sandbox to the live platform. How can I do that?","Grimez1995, the owner of this page appears to be on an extended break; could you please ask your question again at the [POLICY]? That said, your article about Shiraz Zawahir at already has [POLICY] feedback for you. Please be sure to link your sandbox, and indicate whether you are Shiraz Zawahir (or have a connection to him) when you ask your question at the Teahouse. Thanks,"
15,qc_22_m0,13766,0,0,0,1.0,1751.9,42.0,174.1,"Hello, how am I able to officially publish an article that I made in sandbox ?","@: Hey there! While I'd love to help you out with this, there's a noticeable problem with your draft. This is the English Wikipedia, so as such, we only accept contributions in English. You might be better suited contributing to the [LINK]."
15,qc_22_m0,7983,0,0,0,3.0,4599.0,55.0,6.9,I want to publish my sandbox article. How do I do so?,"Hi, @! You currently lack the appropriate permissions to publish articles by yourself. In lieu of this, you must use the [POLICY] process. This means submitting your sandbox for review and, if passing our standards on [POLICY], [POLICY], and [POLICY], publishing. To do this, place at the very top of your sandbox. ([WIKILINK] • )"
16,qc_22_m0,13369,3,3,0,0.0,74.3,44.0,4.8,i want to publish this page from sandbox to mainpage please help me with that,"@ I looked at your article and noticed you do not have any citations to credible sources to provide evidence for your claims. Can you find 3-5 credible resources for this article, which will help it before it is moved to live article space?"
16,qc_22_m0,35771,0,0,0,8.0,1547.6,24.0,19.6,"Hi, how can I publish a page publically? I have one sandbox and a user page with the same content.",":Pmukt.97, It is currently at [DRAFT], where you can submit the draft for review, but make sure to add references before you do that."
16,qc_22_m0,29469,0,0,0,0.0,5.0,13.0,34.4,Hi! Can't figure out how to publish a page in y sandbox.,Hello @! I see that you've figured how to that on your own
16,qc_22_m0,30157,0,0,0,0.0,122.4,52.0,1.7,"Hi, Im so confused. I create sandbox page and i dont see it anywhere...i dont understand how to publish my page?","Hi @! I had a little look, and noticed your sandbox was deleted under our [POLICY] criteria [POLICY], which basically means you are not allowed to [POLICY] on Wikipedia. I can’t look at the details as I’m not an Admin and can’t view deleted contribs. I’d recommend reading [POLICY] and [POLICY]. Thanks,"
17,qc_22_m0,14844,3,3,1,22.0,1063.8,21.0,5.0,Hello how are you? I was wondering how I can submit an article for review? It's currently in my sandbox. Thanks.,"@: Add [TEMPLATE_REF] to the top of your sandbox, and click the ""Submit your draft for review"" button. (, , )"
17,qc_22_m0,12877,0,0,0,1.0,1.0,30.0,102.1,"Hello Eddie, could you guide me on how to submit an article for review? The article is drafted in my sandbox.","Hi @, sorry for the slightly delayed response, but it looks like you have figured this out. Please let me know if I can help you out with anything else!"
17,qc_22_m0,6056,0,0,0,11.0,168.6,141.0,0.7,I have created an article in my sandbox and now want to submit it for review. How do I do that?,"Hi RJClatk1447, the page , to which I assume you refer, needs references to show that it is a notable topic, and references to allow verification of the content by the reviewer and any other reader before it should be submitted for review. In its present state it is nor ready for Wikipedia article space. I recommend that you read [HELP_PAGE], [POLICY], and [POLICY] to get a better idea of how things are done here, and revise your draft accordingly. When you are confident that the draft complies with Wikipedia's requirements, you can add the template [TEMPLATE_REF] to the draft, which will tag it as ready for review, and one of the new page reviewers will review it, possibly leave comments on required or recommended improvements, accept or reject the submission, and leave you a message. Hope this helps, Cheers, :"
17,qc_22_m0,9971,0,0,0,0.0,5571.5,20.0,371.4,"Hi, I've created an article in my sandbox page, but I'm not sure if I've correctly submitted it for review. How can I see if it's being reviewed now? Thanks for your help!","Hi PrairieCajun, is the article still around? You could visit [POLICY]. (Ping me or leave a message on my [TALK_PAGE])"
18,qc_22_m0,28439,3,3,1,52.0,22.6,12.0,0.1,"Hi,
I need help on my sandbox. It’s ready so I would like move it as an article, but I don’t have the tool ""move"", can you explain me how yo do that ?
Thanks !",I think [POLICY] should help =) If not let me know. –
18,qc_22_m0,14305,0,0,0,0.0,-1.0,12.0,7.5,"Hello,
I have an article in my sandbox but I am not able to move it in my draft. Kindly help me .",:Priyankadwivedi1977 Good day. These are your draft pages - [DRAFT] and [DRAFT].
18,qc_22_m0,31215,0,0,0,0.0,20.5,66.0,207.0,"Hi mate,
I would like to move my article that I created from the sandbox to the live platform. How can I do that?","Grimez1995, the owner of this page appears to be on an extended break; could you please ask your question again at the [POLICY]? That said, your article about Shiraz Zawahir at already has [POLICY] feedback for you. Please be sure to link your sandbox, and indicate whether you are Shiraz Zawahir (or have a connection to him) when you ask your question at the Teahouse. Thanks,"
18,qc_22_m0,19365,0,0,0,10.0,19.0,33.0,2.8,How to move an article from sandbox to production?,"Hi @, you should either use the [POLICY] or place the code at the top of the page. Then wait for an AFC reviewer to review the page and move it to mainspace."
