group_id,qc_label,conversation_id,active_days_14d,active_days_30d,retention_14d,mentee_n_edits,mentee_n_edits_7d,mentee_acct_age_hours,mentee_mainspace_ratio,mentee_mobile,mentee_visualeditor,mentee_revert_rate,mahal_to_anchor,max_group_mahal,reply_words,reply_lag_hours,question,reply
13,qc_22,225,3,8,1,4.0,4.0,29.5,0.0,0.0,1.0,0.0,2.71,3.34,30.0,6.0,where is the sandbox,"It depends on what skin you are using. I'm not using the most recent skin so I can't tell you. For me, it's at the very top of every page."
13,qc_22,2080,0,0,0,1.0,1.0,6.4,0.0,0.0,0.0,0.0,1.66,3.34,9.0,3.2,where can i find my sandbox?,Hi @ your sandbox is at . Happy editing!
13,qc_22,2622,0,0,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.66,3.34,14.0,2.8,"Hello, how do I access my sandbox?",@ you can access here or click in the link at the right topbar
14,qc_24,6029,3,4,1,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,3.08,187.0,1.0,"how do I save a draft, without having to publish it?","Hi Fripper23, You click on the publish button, which saves the page in draft space. This happens because you created the article in Draft space (it has the prefix ""Draft:""). To publish it in mainspace, the article must be renamed in a process called ""moving"", which publishes it in article space for the world to see. If you want you could alternatively save your drafts in user space, where they will mainly be ignored until you are ready to move them elsewhere. A lot depends on how soon you want them to be examined by someone else. If you expect the article to be ready soon, draft space is good, as you are more likely to get helpful suggestions. User space is good for something that may take a longer time before it is ready. As the article title suggests it will be about a recognised species, it should be easy to prove notability and should not take long. You are welcome to ping me from the talk page of the article while you are developing it if you want me to take a look. Cheers, :"
14,qc_24,2558,0,0,0,0.0,0.0,84.3,0.0,0.0,0.0,0.0,2.33,3.08,58.0,8.5,"Hi Robert,
How can i save my draft without publishing it ?","@ hi. I see that you have already saved something to your user page. As it is, the content is [POLICY] and may likely be subjected to deletion. Do keep in mind that [POLICY]. I suggest moving it to your sandbox, i.e. at where you can further work on it to make it less promotional. See also [POLICY]."
14,qc_24,9059,0,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2.62,3.08,133.0,7.5,Hello! How do I publish a draft?,"Mattdimarc, well at the moment your draft has been put up for review, which could take a little bit, so be patient. However, your draft as it is currently will not be accepted, because it does not show that you are [POLICY]. To fix that, you will need high quality [POLICY]. I have just declined your draft to that effect. At the top will be the decline reasons. You should follow some of the blue links and learn more about the process. Also, you should realize that your draft is written like an advertisement. Wikipedia is not for promotion. Our articles are written [POLICY], in an encyclopedic style that does not puff up the subjects. There is definitely a lot to take in here, so don't be afraid to post followup questions :)"
14,qc_24,25593,0,0,0,0.0,0.0,334.9,0.0,0.0,0.0,0.0,3.08,3.08,43.0,0.2,"Can I save my draft without publishing it? If so, how?","@, welcome to Wikipedia! ""Publish"" and ""save"" are the same thing - wikipedia is a constant work-in-progress that we edit live. If you don't want to make edits on a page in mainspace for whatever reason, you can create a draft through [POLICY]."
15,qc_24,38919,3,3,1,2.0,2.0,4.1,0.0,0.0,2.0,0.0,0.0,3.83,13.0,0.8,"Hello, How can i submit my draft for review?",:Please review [POLICY] and let me know if you have any questions! '
15,qc_24,39116,0,0,0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,2.72,3.83,13.0,8.8,where can I submit my draft for review?,@ these issues have already been addressed at by the looks of thing
15,qc_24,7556,0,0,0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,3.39,3.83,21.0,13.2,"Hey, can you please let me know how can i submit my draft?","Laibadotawais its at the top of your draft, in white letters, with blue background, saying ""submit the draft for review"". —usernamekiran"
15,qc_24,4600,0,0,0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,3.83,3.83,31.0,6.3,I've published a draft but don't see a submit for review button,"Thechosenone53 If you mean [DRAFT], it seems you found how to submit it for review, as it is currently waiting to be reviewed. If you mean something else, let me know."
16,qc_32,11684,4,4,1,4.0,4.0,0.3,0.25,0.0,3.0,0.5,0.0,2.87,63.0,0.1,How do I publish an article,"Hello Therian Controls! If you want to write an article on Wikipedia, you start by finding reliable sources about the subject you want to write about. Then you can use those to start a draft with [POLICY]. One important thing is that articles cannot be promotional. The text currently written at would not be accepted because it describes a product using marketing-like language."
16,qc_32,18512,0,0,0,1.0,1.0,0.6,0.0,1.0,1.0,0.0,2.66,2.87,25.0,7.3,How can I publish my own article?,"Hi @, you can use the [POLICY] to create an article. Keep in mind the key policies of [POLICY], [POLICY], and [POLICY] when writing articles."
16,qc_32,19072,0,0,0,3.0,3.0,4.4,0.0,0.0,0.0,0.0,2.82,2.87,19.0,0.2,"hi, how can i publish my article?","Smmama I've responded on your talk page. In short, I strongly advise you against writing an article about yourself."
16,qc_32,26557,0,0,0,2.0,2.0,0.5,0.0,0.0,0.0,0.0,2.87,2.87,99.0,35.8,"Hello!
How to publish article?","Hello LAKSHIT16092011|p= and welcome to Wikipedia! Thank you for being willing to jump into creating a Wikipedia article. It may be tricky for you to start editing by creating an article, because creating articles on Wikipedia are very difficult. There are many technical aspects to Wikipedia that take a lot of learning, but some of the tasks at the [POLICY] can help you learn those things. For example, all subjects of Wikipedia articles must pass our [POLICY]. If you're still interested in creating an article on something, the instructions at [HELP_PAGE] are very informative. Cheers and happy editing! '"
17,qc_32,3849,3,7,1,5.0,5.0,26.0,1.0,0.0,0.0,0.0,0.0,4.6,29.0,13.4,How do I publish an article?,Hi Volkan Agha and welcome to Wikipedia. [HELP_PAGE] explains how to publish a draft article. My welcome message on includes additional links that provide guidance on how to edit.
17,qc_32,38384,3,3,1,8.0,8.0,119.9,1.0,0.0,8.0,0.0,3.58,4.6,4.0,14.2,How do I publish a new article?,"@, see [HELP_PAGE]. '"
17,qc_32,6275,0,0,0,0.0,0.0,179.1,0.0,0.0,0.0,0.0,3.09,4.6,345.0,0.6,"Hello, how can i publish my articles ?","@ Hello. Welcome to Wikipedia and thank you for your question. Because creating a brand new article is the hardest thing for anyone to do on Wikipedia (especially for a newcomer), we usually recommend gaining experience by making smaller edits to exisiting articles first so that you can come to understand the policies that guide us. This stops us from making big mistakes early on, and being disappointed.
Before you publish an article (and I assume you are asking about Nawal Mahmoud Alayan AL Faouri at ), you should read through [POLICY] and [POLICY] about the biographies of living people. It explains that every single statement in a biography about a living person must have an 'inline citation' allowing someone to verify whatever is stated.
We also have guidance on [POLICY] - an absolutely critical guide to whether or not a particular person meets our criteria for a Wikipedia article. Just existing doesn't count (or I'd have one about me!). One of your sources explains her background and roles, but you will also need to show that other people have written in depth about her (news media stories about her, rather than interviews with her, please.
At the moment, your draft article is like a curriculum vitae. Much of her minor roles can be left out, but what we need is other sources to show that this particular politician is notable enough to merit an article here. You've made a good start, but you might like to look at articles about similar people to see how they are written and constructed.
Once you're ready, you could come back and I can add a 'submit' button to the article so that a reviewer can determine if it meets our basic criteria, and offer you further advice if it does not. Or you can do this yourself via our [POLICY], which will start a draft for you and you can submit it when ready. I hope this helps a bit. I will leave you with a few extra links as a welcome message on your talk page."
17,qc_32,20630,0,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,3.2,4.6,116.0,48.2,"Hi, i would like to know how publish my own article","Hi ! I thought I might give a partial answer while ARoseWolf is temporarily away. The main guidance for publishing a new article is at [HELP_PAGE], but there is a newer and more streamlined draft at that is a quicker read. You may also want to have a look at the short user essays [POLICY] and [POLICY]. Basically, you'll need to find reliable sources that talk about your topic in detail, because otherwise the topic will not be eligible for inclusion in the encyclopaedia. A number of help venues for newer editors are available with quick response times, the best of which is probably the [POLICY]. Please don't hesitate to reach out if you get stuck."
17,qc_32,4523,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,3.22,4.6,116.0,0.3,How can I publish an article for others to see?,"Milanmicunovic888 I assume you refer to your draft created today, [DRAFT]. As you can see from the notice at the top of the draft, when you are ready to submit it for review, click on the blue button at the bottom right of the notice, labelled ""Submit the draft for review!"" When you do that, the notice at the top will change, indicating it is waiting to be reviewed. Be aware that there is a backlog, and it could be up to 3 months before the volunteers who review new draft artucles complete their review. You'll be notified on when the review is complete. If approved, the article will then be published as part of Wikipedia."
18,qc_34,13522,3,4,0,5.0,4.0,313.2,0.6,5.0,5.0,0.2,0.0,3.58,30.0,0.3,I cant create user page please help,"Theories of scientists You have a user page! Just click on your name. If you want to add stuff there, than simply edit that page and add what you'd like."
18,qc_34,39215,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,3.21,3.58,49.0,26.7,Hello! Im new here and cant create user page. Can you help me?,"Hello plz help me in Search for contribution snd l dont understand tag for filter 😕🤔
@, I'm not sure I understand; are you referring to the next to the edits you make? Or to the ""[POLICY]"" that appears at the top of a ? (see the links) —"
18,qc_34,26951,0,0,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,3.29,3.58,14.0,0.1,Hello! Im new here and cant create user page. Can you help me?,Tkm nobody requested a courtesy vanishing within a minute of asking this question. Ignore.
18,qc_34,1971,0,0,0,0.0,0.0,1410.9,0.0,0.0,0.0,0.0,3.58,3.58,25.0,9.2,I want to create an user page,@ hellos and welcome to wikipedia! if you click on [LINK] it will enable you to edit that page to your heart's desire. happy editing
19,qc_34,29592,8,18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,15.0,241.7,What should I put on my user page?,@ : see [POLICY] and let me know if I can further help you. :)
19,qc_34,4651,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.81,3.7,55.0,0.9,Hello. So what do I add on my user page?,"Kaltenbrunner32 If you succeed in appealing your username block, change your username and can edit again, see the general guidelines here: [POLICY]. You could also look at a range of other user pages, just to get ideas. For some examples, is extremely minimal. While is rather elaborate, as is , though both are very different."
19,qc_34,7420,0,0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.33,3.7,47.0,5.6,"Hello, Actually I have a question..
What to mention in user page?","Greetings, !
I see a few things regularly on people's user pages. People will often mention what kind of areas they enjoy editing -- whether it is astronomy, art, geography or behind-the-scenes activities. Often, users will add links to the articles that they have worked heavily on."
19,qc_34,39020,0,0,0,14.0,14.0,34.1,0.0,14.0,0.0,0.429,3.68,3.7,10.0,1275.2,what should i put on my user page?,Hello 👋 How do I add my info to WIKIPEDIA
20,qc_37,29942,5,5,1,43.0,9.0,286.6,0.977,0.0,0.0,0.163,0.0,3.46,188.0,19.4,how do I write a biography?,"Hi @ and welcome to Wikipedia. On Wikipedia we have a separate list of rules for biographies of living people (people who are still alive) which can be found at [POLICY]. To write a biography it is important that you are not connected to the subject. Then you need to find [POLICY] on the topic. This means sources that are independant of the person (not written by the person themself) and come from a reliable website. You can start your article in something called [POLICY] where the article won't actually appear on the web untill you are finished writting it. When writting about other people it is important that you maintain a [POLICY], meaning that you represent the person in a neutral sense. A reader should not be able to tell your opinion on a person based on your Wikipedia article. The page [HELP_PAGE] has tons of great advice about writing your first article.
In summary, use reliable sources, maintain a neutral point of view, and check out [HELP_PAGE].
I hope this helps and let me know if you have any questions as I'm here to help you!"
20,qc_37,667,0,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,3.26,3.46,30.0,1.5,"Hello ,
How do I begin writing a biography of someone ?","Benedipete, creating a whole new article isn't where I would choose to start but once you have the necessary [POLICY] to demonstrate their [POLICY] you can follow these guidelines: [POLICY]."
20,qc_37,24518,0,0,0,0.0,0.0,49.2,0.0,0.0,0.0,0.0,3.38,3.46,24.0,0.1,Hey how do I create a biography,"Hi , take a look at [HELP_PAGE] and [POLICY]. But you shouldn't try making a biography about yourself ([POLICY]) if that's what you intended."
20,qc_37,22588,0,0,0,5.0,5.0,49.6,0.0,5.0,5.0,0.0,3.46,3.46,69.0,15.6,How do I create my biography,"if this is for self promotion, then the article will certainly not be accepted as Wikipedia is [POLICY], rather it is an encyclopedia.
Either way, creating a new article is a very challenging task, and I would recommend starting with easier edits to get the feel of Wikipedia's policies and guidelines. Some are suggested at . Then, you can look at the page for creating your first article ([POLICY])."
21,qc_43,31417,3,3,1,10.0,10.0,0.3,1.0,1.0,10.0,0.0,0.0,3.75,148.0,0.8,"Hello, how do I create an artist page that will be a success?","Hi @, welcome to Wikipedia! I would read [POLICY] or [POLICY] if you're meaning a music artist. Notability is the number one thing here when making new pages, so make sure you pick someone who meets the requirements lined out on those pages. Once you have someone picked out, you'll have to make a draft at [POLICY] since you're new here. As for the structure of the page, [POLICY] has some useful information.
Although! I would seriously start out doing some more simple edits before jumping straight into creating a new page. Getting used to how things work around here first will increase the chance of your new page being a success. Find some artists you like and see if their page needs any work.
If you have any more specific questions or would like to me explain anything I've said here, feel free to let me know."
21,qc_43,17417,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,3.63,3.75,62.0,7.6,"Hello, how do I make my artist page unique and visible?","14ti4ma4 Hello, and welcome! Unfortunately, the answer is you can't. Wikipedia is [POLICY] anything (be it a person, a company, or even a charitable cause). Wikipedia will only host an article about subjects which have received detailed coverage in reliable, independent sources (this is sometimes called [POLICY]). Additionally, if you are writing about yourself, you need to follow the rather strict [POLICY]."
21,qc_43,12148,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,3.75,388.0,7.4,"Hey Tollens, can I create a artist page","Hey ! You can absolutely submit an article – you might find [HELP_PAGE] helpful, and you can use the [POLICY] to create the draft page. There are a couple things to keep in mind before you start, however (most of this is also in the help article I linked above also).
Creating or editing Wikipedia articles about yourself is strongly discouraged (and if you don't plan on writing about yourself just ignore this part). It is usually extremely difficult to write an autobiography that is neutral and is well-sourced, and even if an article about you is published, other users may contribute material you might not want in the biography. I know this might be disappointing, but if you meet Wikipedia's inclusion criteria, other editors will likely create an article about you eventually.
Even if you aren't writing about yourself, there are still some important guidelines about what references have to exist before an article can be published. On Wikipedia we call this [POLICY] (though that wording is a bit misleading, it has nothing to do with the usual sense of the word). Typically, editors who are reviewing submitted drafts check that the article has at least three sources which are [POLICY], independent of the subject (so not the company's website in an article about a CEO, for instance), and contain significant coverage of the topic (not just a passing mention).
In terms of actually writing the article, one thing to remember is that all information should be [POLICY] – that means that a reader can easily check to make sure that the information comes from reliable sources like I talked about above. Typically, this means that most sentences should have a citation to another source, even if you already know a lot about the topic. [POLICY], unfortunately.
I know this is a lot – writing a new article is one of the toughest things to do on Wikipedia. While you're more than welcome to jump right in, you might be interested in gaining some experience beforehand by editing some existing articles; the [POLICY] has some ideas on how to do so if you want. If you have any questions about any of this, or need help with anything in particular as you edit, please do feel free to ask me – I'm more than happy to help."
21,qc_43,13096,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,3.75,3.75,45.0,31.8,I am trying to create a page for my artist. Do you know how to accomplish this ?,"Bigbodykweeng Please see [POLICY] and follow its directions carefully and read [POLICY]. Should you choose to proceed, then read [POLICY] to creating your first article. [POLICY] would be the [POLICY] guideline that needs to be met. Please let me know if you have any questions."
22,qc_53,11575,3,3,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2.6,45.0,24.3,How do I make my own article?,"Ey, [POLICY] is an extremely bad idea per the link in this sentence, if that's what you mean. I really doubt that your team meets our [HELP_PAGE]. There is very little benefit for the subject when they have a Wikipedia article, and there are [POLICY]."
22,qc_53,5390,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.45,2.6,15.0,0.4,how do I create my own article?,"@, here is some reading material:[POLICY], [POLICY], [POLICY] and, if it applies, [POLICY]. Good luck!"
22,qc_53,18534,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,2.53,2.6,12.0,88.1,How do I make my own article about myself,"@ - Please do not do that, it is against wikipedia rules."
22,qc_53,6407,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,2.57,2.6,192.0,1.4,how do I make a article about myself?,"@ Put bluntly - you don't! Your userpage as it stands is quite inappropriate and, unless you change it, will inevitably be deleted as you've written far too much about yourself, in a style of an article. See [POLICY] So, please some other form of social media to write about yourself, and don't try to use Wikipedia.
Now, the only circumstance where you could have an article about you is if you very clearly meet Wikipedia's [POLICY] criteria, which requires at least three, independent sources to have written about you in detail and in depth. The specific notability criteria for musicians to have an article about them can be found at [POLICY]. If you know you don't meet either of these sets of criteria, then simply forget it. The fact that you make music is irrelevant to whether or not you are seen as 'notable' by our criteria.
Finally, even if you are likely to be seen as 'ntable' we very heavily discourage anyone from tring to write about themselves. Leave it for someone unconnected with you to undertake that task. See [POLICY] and [POLICY] to appreciate the issues here. Kind regards,"
23,qc_59,33920,3,3,1,1.0,1.0,658.6,1.0,0.0,1.0,0.0,0.0,4.23,61.0,15.4,"Hey, hope you're alright please how do I edit the title of pages.","@: Once you have ten edits and your account is at least four days old you will gain the ability to ""move"" pages. Please note that the use of this tool requires the move to either be uncontroversial or be backed by consensus. If the move may be controversial or requires consensus, you can post at [POLICY].
Happy editing! ~ ~"
23,qc_59,1037,0,0,0,2.0,2.0,50.3,1.0,2.0,2.0,0.0,1.63,4.23,68.0,10.6,"Heya, how do i change the title of a page? Thanks in advance.","Changing a title of a page is done through [POLICY] it to a new title. Your account will need to be [POLICY] before you can move pages. Note that if there is likelihood of somebody objecting to the new title, you should start a discussion on the article talk page to establish [POLICY] before moving. Is there a particular page you think needs to at a new title?"
23,qc_59,10516,0,0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,3.57,4.23,53.0,3.8,"Hi
I am looking to edit a pages title and cannot seem to do it","Hello Jacqui Davidson, and welcome to Wikipedia! Page titles cannot be edited like usual; a page has to be [POLICY] to a new location instead. If you let me know what page you are trying to rename and why, I can move it for you since I have the tool to do so."
23,qc_59,5138,0,0,0,4.0,2.0,2138.0,0.0,4.0,2.0,0.0,3.74,4.23,85.0,9.7,How do I make a title for a page and or edit it?,"Hi @. If you're looking to create a new article, there's a lot of great advice at [POLICY]. You'll be able to decide on the article title, and the relevant policy is [POLICY]. If there is an existing article with a title that needs to change, we call that ""moving"", and there's guidance on how to do so at [POLICY]. Your account is unable to create new articles or move existing ones until you've made ten edits, but you're pretty close already! ( / )"
24,qc_64,27621,4,4,1,4.0,4.0,112.9,0.75,0.0,4.0,0.75,0.0,3.77,49.0,15.5,"hi
how to publish article in wikipedia, kinldy help me","@: Hi, please first ensure the subject of your article is [POLICY]. That is, it has received significant coverage in independent and reliable sources. If it does, you can start creating the article by following the instructions at the [POLICY]. Please see [HELP_PAGE] for additional help resources. Ping me!"
24,qc_64,34638,0,0,0,1.0,1.0,0.2,0.0,1.0,1.0,0.0,3.53,3.77,29.0,0.3,"Hey hello mentor, how can I publish a new article in wikipedia","@: Hello and welcome to Wikipedia! You can start by going to [POLICY] project. You can create a draft and then submit it for review.
Happy editing! ~ ~"
24,qc_64,35452,0,0,0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,3.75,3.77,29.0,0.1,Hello. How do I publish my page successful on Wikipedia,"@ You write a draft through [POLICY]ion, and you source your draft with [POLICY]s. There's a good summary of what kind of article tends to survive on Wikipedia [POLICY]."
24,qc_64,28914,0,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,3.77,3.77,91.0,8.7,"Hello, How can I publish a article on Wikipedia. Dear Mentor","Hello @, you might first want to check our [POLICY]policy, which outlines what Wikipedia should not be used for.
You should also familiarize yourself with Wikipedia by editing existing articles, which you can learn how by going to the [HELP_PAGE], and find articles to edit using your .
When you are ready to create your own article, go to [HELP_PAGE], which outlines the process of writing and submitting an article draft.
If you have any more questions, don't hesitate to ask at the [POLICY] or on your . Happy editing! ~~"
25,qc_99,34287,5,7,1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,3.14,66.0,10.2,how do I edit a page,"Hi there! In order to edit a page, you can click the ""edit source"" tab on the upper right corner of the page and change the Wikipedia article text to what you need to change it to. Also, please feel free to take a look at our [POLICY] as well as our [HELP_PAGE], [POLICY], [POLICY] and [POLICY]. Again, welcome and happy editing! Thanks, ( • )"
25,qc_99,40285,4,5,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,3.05,3.14,23.0,0.0,How can I edit page,"hi, you can edit pages by clicking the Edit or Edit source button at the top of an article or by clicking [LINK]"
25,qc_99,18169,0,0,0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.15,3.14,74.0,11.8,hi! how do you edit a page?,"Hi Galaxystarzx989 and welcome to Wikipedia! There should be an ""Edit"" button on most articles here. If you can't find it, you can add ""?action=edit"" to the end of the URL. Pages may be protected, and in those cases, you won't be able to edit them unless you reach a certain number of edits. I hope this helps, and feel free to let me know if you need any more help. Happy editing! :)"
25,qc_99,40178,0,0,0,0.0,0.0,113.2,0.0,0.0,0.0,0.0,0.87,3.14,18.0,0.7,Hello how can l edit a page,"Hey! To edit a page on mobile, click on the pen icon found under the article title. [HELP_PAGE]"
25,qc_99,8963,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.06,3.14,74.0,0.2,how do i edit an existing page,"Angryonions42 hello and welcome to Wikipedia! In most cases it is as simple as clicking the ""Edit"" button (which might appear in a different place depending on your device). I gather you managed to find it given —please don't test on articles (where readers can see), but you can use [POLICY] or or lots of other behind-the-scenes pages to see how it all works. Let me know if you have any more questions! —"
