question_cluster,label,n,retention_14d,retention_2d,sample_questions
83,qc_83,29,0.2414,0.2069,"Hi Michael, sorry to bother you but I’m stuck on a small edit. I spotted that “Arun Valley”, on the “List of Special Areas of Conservation in England” page was incorrectly linking to the Wikipedia page describing the one in Tibet/Nepal! I edited/removed the link but then noticed I needed to make it a ‘red’ link. I’ve followed the instructions on the Red Link page, but it reinstated the original incorrect link! I’ve undone this edit so the link is now black, but it clearly needs set to red. Any guidance or direction you can give would be much appreciated. Thanks, Peter. ||| Hello!
I've mainly made my account to propose that the article for ""Scores_on_the_doors"" shouldn't redirect to ""Food_safety#Regulations_by_jurisdiction_and_agency"", as the phrase's origins are unclear due to it having two meanings (Food Safety regulations, and a catchphrase on the UK show ""The Generation Game""), and would like to propose that it either redirects to ""The_Generation_Game#Catchphrases"" instead, or that there is a separate page linking to both articles.
However, I'm completely new to Wikipedia and I have no idea how to do this. Would you be able to help me? ||| Hey! Excited to be contributing. I made an edit to the Sassafras albidum page that removed a weird comma. There was a box to add a description to the edit and it already had some text in it with /* */ around it. I tried to press enter to make a newline and start my comments after and that published the change :(. Two questions: Should I leave the text /* with this around it */ in the change description when I make an edit? Is there a good way to add a description to that edit since I didn't get to before (or should I just not worry about it)? ||| I'm working on my Ngorongoro Conservation Area page. On the Talk page, it mentions a problem linking to an anchor. On the article, I can see that the intention is to have a link that goes to the Great Migration section of the Serengeti article - instead it goes to the main article. The note in the Talk page says the anchor needs to be fixed.
Would you please direct me to information about how to fix this link? Do I need to edit the anchor on the Serengeti page? Or is there a way to code it from the NCA page? And I need to know how to do either (or both) of the things I just listed. Thanks! ||| Hi LEvalyn, re: Talk:North American railroad signaling.
There seems to be a lack of a focus point of this article. If there is enough information to warrant it standing alone, perhaps altering the title to: ""North American railroad signal systems""
Photographs identifying railroad signals and signs as well as other items referencing this technology in history.
If my input has any merit & you would you redirect my inquiry, I would appreciate it. Thanks"
84,qc_84,130,0.3615,0.1846,"How to link a website while editing any article? ||| How to add external links 😕 ||| How do I hyperlink to relevant W pages? ||| How do I make a link to a different article? ||| Heyo. Quick question for someone with experience, with adding links between articles, is it better to have lots or a ""less is more"" approach? Thanks in advance!"
85,qc_85,20,0.65,0.55,"Hello AllyD,
Wikipedia suggested that I update the page for [WIKILINK], but the existing website links and CNN sources are either links to InternetArchive or don't exist at all. Information online is also extremely limited. What do you recommend I do in this case? Thanks! ||| Hi , thanks a lot for fielding questions.
I posted at [WIKILINK] promoting a merge, but note that the discussion is old and shadowed by new posts. Is it likely that watchers will see it adequately? Or is it helpful to re-start the proposal with a new category, referring back? Moving the discussion to the bottom sounds like a bad ideas since the edits will be ascribed to me in e.g. WikiBlame rather than to the authors. Posting to the merge partner [WIKILINK] sounds like a good idea but I don't want to fragment the discussion. Finally I can go by the template usage at the proposal to merge e.g. [WIKILINK] and [WIKILINK] in order to put up banners at both, but want to ask for your guidance first. For example, should I be prepared to do the merge myself if it is supported? And finally, I can just be [POLICY] and do stuff instead of bugging you. – ||| Hi Luni! Super new here so I hope I'm doing this correctly. I came across a page with an active merge request that I think makes a lot of sense but no one else has partaken in it (page is [WIKILINK] btw) and idk how to join in. Do I just make a reply stating that I think it should happen? Ty! ||| Hey! Can you answer my protection request about [WIKILINK], right now please? ||| Hello Eddie891, I have just now created this account but did some editing on Wiki around 5 years ago. I use the encyclopedia often but am retired and my usage is leisurely.
I was reading the Human Migration page. While there's a lot of good information, the page needs a major revamping. There are contradictions between the sections, the logic is weak, and there's a jumble of conflicting definitions. The result is confusion. I checked the 'talk' on this page, and found that back in 2015/17 someone else made similar points. They suggested a ""Merge"". I suggest a reshuffle and cutting. The topic needs to be precisely defined, logical connection between sections made, and then the links to other Wiki pages clearly specified. The way it stands now, this page tries to do everything and ends up doing nothing.
This is an important topic. Please have a look at it. I could help revise but it would mean a total reshuffle.
Thanks for you consideration on this,
Jansan72"
86,qc_86,54,0.3889,0.2222,"Hi there! I would like to include link in a wikipedia.org page to another page that only exists in French--so, on wikipedia.fr. I see that the normal way of linking another Wikipedia page (using square brackets, [WIKILINK]), doesn't work. Do you have any tips? ||| How do I add a link from new wiki page to articles on other pages or to a website. Thankyou ||| Hello! I am trying to add links to other wiki pages in a new wiki page I am creating. I amusing Visual Editor. When I highlight a term and then click on the link icon, I get a window which gives me the options to ""Edit"" or remove the link. But all I want to do is add the link. It does not seem to give me the option to do this Thanks. ||| Hi Aaron, I'm am trying to create a page for a public figure, I want to open the page up for edits by team members, how do I create a link to send to them so that they can can edit the page live ||| Hi, I have started translating wikipedia articles to tamil recently. Since some articles still don't have a tamil translation, I want to attach the hyperlink to the english article within the tamil article. How do I do that? Thanks!"
88,qc_88,57,0.2982,0.1053,"I am finding a highly biased content. How can I edit it or report it. It also uses loads of sources but all sources are from the same leaning media with the same narrative. ||| Added some text, facts. How do I cite? ||| Magnesium l threonate would cross BBB ... why you don't include it ||| Hi, I'm thinking about moving a page. It's the Mental disorders diagnosed in childhood and I'm thinking about changing it to Mental disorders typically diagnosed in childhood. While it's not a big change I feel it's more accurate both the sources of DSM-5-TR and ICD-11. Also it makes sure that people don't think that these mental disorders are only diagnosed in childhood, rather that they are generally present during childhood. Thanks in advance! ||| Ok so there is a piece of useless information. Specifically it elaborates on the word ""Apelion"" despite the fact the word is a link to the definition itself."
89,qc_89,40,0.2,0.075,"Hi, I recently reset my computer, and after that, I tried accessing my Wiki account. For some reason, I couldn't log in no matter what I did. Today, I tried signing up again using the exact same username and email address — surprisingly, it let me create a new account. I'm confused about how this is possible. Could you help me understand what's going on or guide me on what to do next? Thanks in advance. ||| I wanted to add something to a page, but instead I accidentally created another new page. What to do now.? ||| Hello, how do I delete the wiki page I've created? ||| Hi there, I have a question I hope you can answer for me... How do I go about deleting an old account affiliated with wikipedia? Thank you in advance. ||| Help me make the deletion discussion"
90,qc_90,77,0.3377,0.1688,"I added Jaws: The Revenge ahead of creating my account, is there a way to loop that back in since it was tied to my IP address, or just moving forward the account will track what I do? ||| I have a question for you: When I register and edit on Wikipedia, I am not logged in with my username, but with the name of an anonymous user (185.213.229.116). Why is this happening? Thank you. Happy editing! ||| Hello I previously edited under my old account jdmaltz, which i cannot access the email (I believe it was my old unversity email from grad school which doesn't exist any more and was transfered to an an alumni email) that it is linked to anymore. is there any way to access that account or link it to this one? ||| Hello to you, over the weekend I attended a meeting at the local library and was given some education on the process of editing and tried to set up an account then, but clearly others attending had already set up accounts and I was unable to do so because it would exceed the maximum of 6 per day on that IP address. So I have set up my account at home today. I am particularly looking at data on Waiheke Island and yesterday while at the library on talk raised three questions in regards to the present data in regard to the island, but not having an account at the time will not be notified if anyone enters the conversation. ||| Hello. Is my IP address public when i edit pages?"
91,qc_91,64,0.5625,0.4375,"Hey, I am Heven 310. I want to know how to add source in wikipedia's article from any other website. ||| Hi. Do you know what are the preferred archival websites for source links? I usually use web.archive.org, but sometimes it doesn't work and I might need to use something else. Thank you. ||| As a new Wikipedia editor, I'm eager to contribute accurately. Could you advise on best practices for citing sources, especially for articles on current events and international relations? ||| How can I easily add a source to an article? I just added one to the Mark Chapman Wikipedia page and I got it right on like my 4th/5th try ||| Hi!! Out of curiosity, are there any search engines / programs you would recommend for finding sources that pre-date the internet? (I.e older newspapers, books, broadcasts)"
92,qc_92,41,0.4878,0.2439,"I would like to know how to create a citation on Wikipedia ||| Hello
I have inline citations on an article “woji”, yet wiki displays “ This article does not cite any sources.” How do I fix this? ||| Hey Dcheagle, I am a high school student in Hong Kong doing a project where I am to edit a Wikipedia article based off my research. I was wondering what form of citations Wikipedia uses. Thanks. ||| how do I create a citation to back up my Wiki edit? ||| Hi Alaexis,
I am new and would like to update a biographical page but I want to make sure it is done properly, the first time around. I have the text and legitmate citations ready but when you get to the edit page, it looks a bit daunting. Can you explain to me how to properly input a citation please?
Also, how to input a wikipedia link. Is it just as simple as place the text in between two square brackets? [WIKILINK]
Also, when I add a new citation, does wikipedia automatically edit and change the citation number, or do I have to do that manually somehow?
Many thanks in advance
Roo"
93,qc_93,128,0.375,0.2266,"Hello, I have just started editing an article which already has some references. How do I enter a book ref? ||| I need help with the building blocks of people's centred approach and their references ||| hi
how can we add References ? ||| Hello sir,
Can you tell me how to edit reference ||| How do I make a reference in a template?"
94,qc_94,21,0.4286,0.1905,"Hello, I found an article, Tandem Accelerator Superconducting Cyclotron, that is one paragraph, if you can even call it that, and a link to the Canadian Penning Trap Mass Spectrometer. It has two references. I've done some research, and there's not that much out there. Is there anything I can do?
Thank You
Titanium-132 ||| Hello and happy new year. I am new in terms of participating and have a question regarding editing a reference section of an existing page. I have made a minor change to a page by editing the town population count using the latest census. Editing the text section was easy, but I couldn't figure out how to update the reference section so to replace the old census link and replace it with the new one (2021). Could you please explain how to update the link in the reference section?
Below is the link to the w page. Thanks. [LINK] ||| The patent link on this page does not work (reference 2)
link should be - [LINK] ||| Hi there. I have made my first edit but wasn't sure how to add a reference/link. Can you advise please? ||| Hi, I edited some text to remove an unnecessary citation in the Cambridge Debate section of the page - but I do not know how to fix the cite error that is now in the References section. Could you please help?"
95,qc_95,30,0.5667,0.3,"Hi,
I have done some copyedits and I am still learning. I was wondering that the scores in red or green mean when I look at my contributions? ||| Kawika2: Hello Ferien! what are the points for when you edit a page? You get minus or plus points. ||| Hi, is there any way I can 'claim' this contribution I did right before making an account?
[LINK] ||| Hello sir/ma’am, I have come to ask about the +/- sign in green or red, that appears after editing a page. ||| What exactly is the number(like a plus seven or negative 2) beside when you review your edits under user contribution page?"
96,qc_96,31,0.4516,0.2903,"Can you please stop undoing my edits, I need to make a point to my computer class, I am a teacher. I will fix the vandalisms after, I just want to show them proof on why they can't cite Wikipedia even though it is a great source, they need others as well.
Thanks for your troubles! ||| Hi DanCherek and mentor, how does one go about becoming a CVU Academy Graduate and working more in the anti-vandalism area? Your guidance will be appreciated. Thank you. ||| HI I am trying to make edits to a page and people keep undoing them. They are legitimate, cited edits! I used a ""talk"" button to make my case but am being ignored. What can I do? Thanks! ||| Hello, What is anti Vandalism, teach me ||| When someone fires vandalism?"
97,qc_97,121,0.2893,0.1322,"Hello, I am an experienced fandom editor and would love to know the basics of wikipedia's editing tools (if there are any similiar to fandom's template option) ||| how can i edit my own wikipedia page ||| Hello how do I edit an article here on Wikipedia ||| Hi, Ixtal! Nice to meet you. I have retired, and I've always wished that my field was better represented in Wikipedia. I'm not sure yet, but I think the best approach might be to do a few small edits first. If it turns out that this is a satisfying activity, however, I'll want to find an organized approach--like starting with a wish list of articles and creating over time. What is my best strategy for discovering like-minded editors? ||| hello, thank you for volunteering your expertise and time to help new users like me :) i'm just an autistic girl who cannot stand even minor errors so making corrections and reversing vandalism really interests me although i'm not amazing at formatting so there may be a learning curve there and that's why its taken me so long to actually try to become a Wikipedia editor"
98,qc_98,29,0.2069,0.069,"There are many wrong information abailable the wikipedia platform which are widely monitored by themselves. Whenever someone correct those edits they are keeping an eye to unbring the changes in to the page. What is to be done in those circumstances? ||| Hi there! I was reviewing my own Wikipedia page only to find that some slanderous news articles were defining my long career. I submitted a request for an update to my page, but I want to ensure that the corrections are made and that I am made aware of future changes that are made by those with ill intentions. Can you help advise me? ||| Does wikipedia show if a citation is wrong or messed up, by not me but others too? ||| Hi, thanks for your welcome. I've been using Wikipedia for a long time and find it quite helpful. I also have enormous respect for the work of your contributors. I speak and write in both English and French (perfectly fluent in the later). I'll try to contribute once in a while, to the best of my knowledge. I just came across a slight mistake on Wikipedia's page ""Garbage (band)"". I wish to correct it. How should I proceed? ||| Does Wikipedia strive for FACT-BASED content?"
99,qc_99,68,0.2941,0.1618,"hello, how to edit a page? ||| Hello. I would like to ask you a question, about a page I'm editing but it won't let me post it. ||| Where is my page
Where we edit our page ||| Hello, I did everything to log in like singing in and confirming it but still I am not able to edit pages like Zootopia 2 Wiki, Zootopia (franchise). ||| How to edit my page?"
100,qc_100,24,0.4167,0.2083,"Hello Mentor, how do I create links and go about citations ||| Hello mentor, How do I create a citation? ||| Hi, Lindsey. Great to connect. Thank you for mentoring!!
My Q: How do I create a citation for birth and death dates using a state-issued death certificate? ||| Hello Emily! ""I dream of horses!""
Warm heartedly thanks for choosing me as a Wikipedian mentor to guide me to walk on Wikipedian expeditions.
How shall I go for citation?
Shanta bahadur shakya
[LINK] ||| Hello Mentor, could you please help me with creating inline citations to meet the requirements? I believe the subject is notable, but it lacks references.
Thank you."
101,qc_101,22,0.3182,0.1818,"I need help citing scientific publication into an article ||| Hello there:
Do citations always have to end up being footnotes? Or is there a way to have a citation without adding more footnotes to the article?
Thanks for the help! ||| Hi, would you recommend including citations as I am writing the article or including citation all at the end? ||| I have just published my first page, but there are multiple issues with citations. I have all of documents and links for the article, but I don't know how to format it properly. Might you help me with this? Thank you! ||| How do I make citations on articles with little to no actual information on them. I keep getting recommended these kinds of articles in sport-related topics, and they usually just have a bit of body as the introduction, and the rest is league tables and other statistics."
102,qc_102,25,0.08,0.04,"How do I correct a factual error? ||| Hello, how do I edit deliberate misinformation on your site? ||| Hello
Hiw do I correct a piece of information on an article? ||| Hi there - I'm hoping to raise a topic on a page that contains misleading information and is currently being used to facilitate scams / fraud.
Are there any recommended approaches to raising this as a topic if it's not relevant to an individual's biographic information?
[LINK] ||| How do I respond to the misrepresentation of the other Elaine McKenna?"
103,qc_103,29,0.3448,0.1379,"Hi! I made a few page edit requests. How long do those take to be addressed, typically? Thanks! ||| Hello! I hope you have a nice day.
How long does it take on average for edits to be viewed?
Thank you in advance! ||| Good morning Liu. Thokgi here.
Is it possible to get notifications on new edits? How soon should I be able to work on the edits once they are in? ||| How long does it take edits to a page to go live? Thanks. ||| Hello, I want to embark on an editing marathon to break a Guinness World Record (Longest edit-a-thon). I have applied for it already and it has been approved. How do I go about it here?"
104,qc_104,47,0.2766,0.1277,"Hi
Please, how do I make the general public see my edit? ||| Why does it take forever to load your edits? ||| I just publish an edit of this page but why I didn't see any change? ||| Hello, the system keeps telling me when i try to publish by changes after expanding the reception section of Miside that it's an unconstructed change. What do I do ? ||| Hello there! How do I publish edits to an ECP page on behalf of the concerned person? (Craig Mokhiber) Thank you."
105,qc_105,22,0.5455,0.4091,"hello, is there a ladder system for editor like beginner, experienced, expert editor? ||| when making multiple small edits, is it preferred to submit each edit individually or all at once? ||| hello bunny, just wanted to ask you a question. i am on my kindle, and my editor won't load properly. it has worked for me once or twice, but not other times. i have only editied 4 times. regards, wikalevi ||| Hi! I was browsing some pages for practicing copyedits, and have a question about formatting.
I edit on mobile, and though I hope to someday understand wikitext, I'm stuck on visual editor. As far as I can see, I can only change one section (is there a more formal name for that?) per edit. Ex, I can only alter ""History"", and not ""Awards"" in a single edit. My question is, is there a way to not stretch that across several edits? I know it's frowned upon to create an account, and instantly start jacking up your edit.
Sorry for being long-winded tbh with how much i wrote and rewrote this message you'd think it'd be more compact, and thank you so much! ||| Hi can I friend other editors"
106,qc_106,71,0.3662,0.2254,"Dear Leonidlednev,
I have a question regarding undoing an edit. As can be seen on my first edit of the PW1000G engine page, I've accidentally undone my edit then did an edit undoing that accidental removal. Is there a better way? It kinda makes the edit logs a mess. Thank you very much. ||| Hi Uther, I'm very new to this and completely overwhelmed. I think I've done everything wrong. Is there a way to just remove everything I've written and replace it with the original text? I messed up and didn't follow the guidelines properly. I just want to start over from the beginning. Can I revert everything to how it was? ||| Hello. I've mistakenly marked an edit of mine as minor, when in reality it does change the meaning of the article, even if only marginally. Is there a way to recategorize the edit, or should I just live with the error? Thank you for taking the time to help. Cheers. ||| How to control my anger when an another editor reverts my revision ||| hello jay, just wondering would it be better to focus on one type of genre when it comes to editing or all over. I only really know the acting world"
107,qc_107,74,0.4054,0.2297,"Greetings, dear Mujinga!
This is my first time
Copy-Editing.
I have carefully scanned
The Article Text,
But I don’t see any
Improvements.
Have I missed something?
Can you give me some helpful
Pointers for starting out
In Copy-Editing?
Thank you for your Time and Guidance.
Most Sincerely,
Brent B. ||| Good evening my mentor, I'd be happy to learn how possible it is to copy edit an improper reference link of any tasked in given to do. ||| Hi there,
I'm trying my hand at editing (have done 7 so far), but I find the examples I'm given hard to fault. The tone seems neutral to me, the text is well-written.
Am I missing something?
With thanks and regards,
Madeleine ||| How do I begin as a new editor? I feel hesitant to edit. I feel like I might make the original text worse?
Do you have any types? Grammar-wise and tone-wise, so that I can strengthen my informative writing and proofreading. ||| Hello Toadspike I have a question about Copyediting. so when Copyediting how should I go about problems from a long time ago like (2012) and I can't find the mistake, as well as not being able to find a mistake in general. thank you for your time"
108,qc_108,137,0.2993,0.1606,"Hey Hi Jay,
You have been assigned as a mentor to you so thank you first of all. I am very new here in the editor role. Would seek your guidance.
How have you been? And which part of the world do you live in?
I saw you talking about digital signature. What is it?
Also, what things I should keep in mind while editing or listing a new topic?
Best,
Anuj (from India) ||| How do I expand an article? I am new to editing and I would like some tips. ||| Hi, I am mostly interested in philosophy and technology. How do I start editing this articles? ||| Hi, where can I find the articles that I can edit? ||| Hi! I have a question, if you are updating a page, do you need to update the entire page at once or can you add the update to some sections and update the rest later if the article is long or you don't have enough time."
109,qc_109,35,0.6,0.4286,"How to open Visual Editor ||| Why does Edit Source come up instead of Edit Article on public pages? ||| what is the difference between visual editing and source editing(I have edited before but only with visual editor not source editor)? ||| Hi, Nobody, I'm Sid. I've just opened an account.
It seems as if there are two editing methods, apparently called source and visual. I think my practice edits so far have been done using visual. I'd expect source editing to involve use of markup, which I would probably prefer as I have considerable experience of HTML and XML. Which would you recommend? ||| HI Gerald, Where can I find a quick guide to the basics of coding an edit?"
110,qc_110,59,0.2203,0.0847,"Hey dude how you doing? By the way I am using Wikipedia on mobile and I am not able to use the visual editor on the mobile app ( however I can use it on the website in chrome).
Is there a way to use the visual editor on the mobile app? Thank you !!! ||| Hello
How do I edit on a mobile and PC? ||| How can I edit a fake respite ||| Should i do editing on pc or stick to mobile? ||| Merhaba şağ üstte olması gereken düzenle tuşu nerde?+Bilgi kutusu ve değisiklik òzeti nerde"
